,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,22960.0,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,121974.99999999999,40,Diesel
3,Hyundai Grand i10,Hyundai,2014,93274.99999999999,28000,Petrol
4,Ford EcoSport Titanium,Ford,2014,165025.0,36000,Diesel
6,Ford Figo,Ford,2012,50224.99999999999,41000,Diesel
7,Hyundai Eon,Hyundai,2013,54529.99999999999,25000,Petrol
8,Ford EcoSport Ambiente,Ford,2016,238209.99999999997,24530,Diesel
9,Maruti Suzuki Alto,Maruti,2015,71750.0,60000,Petrol
10,Skoda Fabia Classic,Skoda,2010,52233.99999999999,60000,Petrol
11,Maruti Suzuki Stingray,Maruti,2015,90405.0,30000,Petrol
12,Hyundai Elite i20,Hyundai,2014,119104.99999999999,32000,Petrol
13,Mahindra Scorpio SLE,Mahindra,2015,91840.0,48660,Diesel
14,Hyundai Santro Xing,Hyundai,2007,22960.0,45000,Petrol
15,Mahindra Jeep CL550,Mahindra,2006,121974.99999999999,40,Diesel
16,Audi A8,Audi,2017,287000.0,4000,Petrol
17,Audi Q7,Audi,2014,143500.0,16934,Diesel
18,Mahindra Scorpio S10,Mahindra,2016,100449.99999999999,43000,Diesel
19,Maruti Suzuki Alto,Maruti,2014,45920.0,35550,Petrol
20,Mahindra Scorpio S10,Mahindra,2016,100449.99999999999,43000,Diesel
21,Mahindra Scorpio S10,Mahindra,2016,88970.0,39522,Diesel
22,Maruti Suzuki Alto,Maruti,2015,21525.0,39000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,28699.999999999996,55000,Petrol
24,Hyundai i20 Sportz,Hyundai,2012,28699.999999999996,55000,Petrol
25,Hyundai i20 Sportz,Hyundai,2012,28699.999999999996,55000,Petrol
26,Maruti Suzuki Alto,Maruti,2017,54529.99999999999,72000,Petrol
27,Maruti Suzuki Vitara,Maruti,2016,83230.0,15975,Diesel
28,Maruti Suzuki Alto,Maruti,2008,27264.999999999996,70000,Petrol
29,Mahindra Bolero DI,Mahindra,2017,51659.99999999999,23452,Diesel
